"location","rating","price_range","type","street"
"Costa Vida",8,"$$","Mexican/Latin","Alliance/Presidio - Fort Worth"
"Hongthong Cafe",10,"$","Asian","Saigon Market - Haltom"
"Pho Thien",10,"$","Asian","Saigon Market - Haltom"
"Chicken Salad Chick",7,"$$","Chicken","Alliance/Presidio - Fort Worth"
"Slim Chicken",8,"$$","Chicken","North Tarrant Pkwy - Fort Worth"
"SWAD",8,"$$","Indian","North Tarrant Pkwy - Fort Worth"
"Jersey Mike's",7,"$","Deli","Blue Mound - Saginaw"
"Taste of Thai",10,"$$$","Asian","Arkansas Court - Arlington"
"Chick-Fil-A",7,"$","Chicken","Western Center - Saginaw"
"Tiger Donut",6,"$","Breakfast","Blvd 26 - NRH"
"Swig",7,"$$","Drinks","Blue Mound - Saginaw"
"Salad & Go",6,"$","Deli","Blue Mound - Saginaw"
"Race Street Coffee",9,"$","Drinks","Race Street - Fort Worth"
"Taste of Asia",7,"$$","Asian","Beach - Fort Worth"
"Pollo Regio",8,"$","Chicken","Beach - Fort Worth"
"Cane Rosso",10,"$$","Pizza/Italian","Downtown Fort Worth"
"Boca 31",8,"$$","Mexican/Latin","Downtown Fort Worth"
"Los Molcajetes",6,"$$","Mexican/Latin","Western Center - Fort Worth"
"Melt",10,"$$","Dessert","Downtown Fort Worth"
"Doc's Food Store",8,"$","Mexican/Latin","Haltom Rd - Haltom"
"First Watch",5,"$$","Breakfast","Blvd 26 - NRH"
"Chan's Mongolian Grill",6,"$$","Asian","Blvd 26 - NRH"
"Twisted Root Burger Company",5,"$$","Burgers","E Abram - Arlington"
"Mellow Mushroom",8,"$$","Pizza/Italian","W Division - Arlington"
"HK Sushi",8,"$$","Asian","Rufe Snow - Watauga"
"Itoko Sushi & Ramen",7,"$$","Asian","Rufe Snow - Watauga"
"Calabrese",8,"$$$","Pizza/Italian","Southlake"
"Bosses Pizza",7,"$$","Pizza/Italian","Jacksboro Hwy - Lakeworth"
"Guanajuato Bakery",6,"$","Dessert","Belknap - Fort Worth"
"Koracha",7,"$$","Asian","Harwood Rd - Bedford"
"Las Delicias de Michoacan",6,"$","Dessert","Rufe Snow - Watauga"
"The Cheesecake Factory",6,"$$$","Dessert","Downtown Fort Worth"
"Gustos Burgers",7,"$$","Burgers","Downtown Fort Worth"
"Aw Shucks",8,"$$$","Seafood","Greenview - Dallas"
"Revolver Taco Lounge",9,"$$$","Mexican/Latin","Deep Ellum - Dallas"
"Ari Korean BBQ",7,"$$$","Asian", "Legacy Dr - Plano"
